,id,player_name,games,time,goals_5wks,xG_5wks,assists_5wks,xA_5wks,shots_5wks,key_passes_5wks,yellow_cards,red_cards,position,team_title,npg_5wks,npxG_5wks,xGChain,xGBuildup
50,770,Ayoze Pérez,5,311,1,0.24418845772743225,0,0.03182739391922951,4,1,0,0,MID,Leicester,1,0.24418845772743225,3.4586831629276276,3.3022362738847733
51,773,Aleksandar Mitrovic,5,250,1,1.1296135038137436,0,0.46899434737861156,13,4,1,0,FWD,Fulham,1,1.1296135038137436,1.446881614625454,0.09010698273777962
52,790,Nathan Redmond,5,304,1,0.6829370930790901,1,0.9844288900494576,8,5,0,0,FWD,Southampton,1,0.6829370930790901,1.773584969341755,0.2095450758934021
53,804,Craig Dawson,5,450,1,0.9602607781998813,0,0,3,0,1,0,DEF,West Ham,1,0.9602607781998813,0.4487520158290863,0.4487520158290863
54,822,Patrick Bamford,5,321,1,1.735383689403534,2,0.8300084844231606,9,7,1,0,FWD,Leeds,1,1.735383689403534,2.6531005203723907,0.20024022087454796
55,833,Virgil van Dijk,5,370,1,0.5533826053142548,0,0,4,0,1,0,DEF,Liverpool,1,0.5533826053142548,1.409594252705574,1.2884346395730972
56,900,Adama Traoré,5,450,1,0.36912779323756695,1,0.4637927757576108,8,4,0,0,FWD,Wolverhampton Wanderers,1,0.36912779323756695,1.3217664705589414,0.4888458847999573
57,935,Kurt Zouma,5,450,1,1.530955335125327,0,0,8,0,0,0,DEF,Chelsea,1,1.530955335125327,3.328598827123642,3.328598827123642
58,964,Kyle Bartley,5,450,1,0.33584943413734436,0,0.24323167651891708,3,2,0,0,DEF,West Bromwich Albion,1,0.33584943413734436,0.6716820895671844,0.42845041304826736
59,986,Danny Ings,5,309,1,1.2289659921079874,1,0.1485080299898982,8,3,0,0,FWD,Southampton,1,1.2289659921079874,1.879575252532959,0.6148987263441086
60,1006,Luke Shaw,5,450,1,0.2501533441245556,0,0.3887038864195347,3,8,1,0,DEF,Manchester United,1,0.2501533441245556,1.4437955468893051,1.1211730651557446
61,1228,Bruno Fernandes,5,450,1,1.5842101350426674,1,1.0156186763197184,11,15,0,0,MID,Manchester United,0,0.8230412974953651,2.677758924663067,1.1423965319991112
62,1299,Mario Lemina,5,431,1,0.11335102841258049,0,0.6437530256807804,4,6,2,0,MID,Fulham,1,0.11335102841258049,0.637176051735878,0.4128113202750683
63,1389,Jorginho,5,409,1,0.7934677600860596,0,0.4605286121368408,3,3,0,0,MID,Chelsea,0,0.03229890763759613,2.8510902673006058,2.8510902673006058
64,1676,David Luiz,5,367,1,0.12974809482693672,0,0,2,0,0,0,DEF,Arsenal,1,0.12974809482693672,2.140554264187813,2.1224349290132523
65,1678,Michy Batshuayi,5,248,1,0.5810881992802024,0,0.7071490660309792,4,3,0,0,FWD,Crystal Palace,1,0.5810881992802024,1.6624878942966461,0.3995778989046812
66,1740,Paul Pogba,5,394,1,0.2862836252897978,1,0.8020205497741699,6,5,2,0,MID,Manchester United,1,0.2862836252897978,2.217752456665039,1.2623070180416107
67,1791,Trent Alexander-Arnold,5,373,1,0.20260068401694298,1,1.1422547698020935,5,14,0,0,DEF,Liverpool,1,0.20260068401694298,1.898653019219637,1.4295355398207903
68,2335,Pablo Fornals,5,351,1,0.1873391456902027,1,0.16877252608537674,3,3,1,0,MID,West Ham,1,0.1873391456902027,2.1869882866740227,1.9265223294496536
69,2517,Martin Odegaard,5,383,1,0.2753480076789856,0,0.5308203771710396,7,9,0,0,MID,Arsenal,1,0.2753480076789856,2.3931397646665573,1.8449688702821732
70,3389,Benjamin Mendy,5,341,1,0.1826444324105978,0,0,3,0,0,0,DEF,Manchester City,1,0.1826444324105978,0.7333210110664368,0.5917616784572601
71,3600,Serge Aurier,5,382,1,0.7540370300412178,0,0.5451527610421181,5,5,0,0,DEF,Tottenham,1,0.7540370300412178,2.3140200674533844,2.2512909919023514
72,3621,Neal Maupay,5,439,1,0.6600092574954033,1,1.1087473332881927,7,6,0,0,FWD,Brighton,1,0.6600092574954033,1.8503176718950272,0.28871123120188713
73,4105,Raúl Jiménez,5,374,1,0.6088082790374756,0,0.34293026477098465,11,5,0,0,FWD,Wolverhampton Wanderers,1,0.6088082790374756,1.9222483932971954,1.0238816067576408
74,5220,Kai Havertz,5,284,1,2.1776732206344604,1,0.2072819722816348,11,3,0,0,FWD,Chelsea,1,2.1776732206344604,3.5122586442157626,1.6120507717132568
75,5549,Luka Milivojevic,5,450,1,0.8353583514690399,1,0.7665850222110748,2,3,0,0,MID,Crystal Palace,0,0.07418951392173767,1.772210318595171,1.4220743663609028
76,5555,Dominic Calvert-Lewin,5,450,1,2.693904485553503,0,0.2425135299563408,10,3,0,0,FWD,Everton,1,2.693904485553503,3.7816099785268307,1.229894932359457
77,5656,Nicolas Pepe,5,256,1,2.0233162939548492,1,0.5470501780509949,7,1,0,0,MID,Arsenal,1,2.0233162939548492,2.890870988368988,0.674823023378849
78,5735,Jean-Philippe Mateta,5,180,1,0.32543088495731354,0,0.016295328736305237,4,1,0,0,FWD,Crystal Palace,1,0.32543088495731354,0.3973565027117729,0.13605083525180817
79,5956,Youri Tielemans,5,450,1,0.4108695276081562,1,0.79380127415061,7,10,2,0,MID,Leicester,1,0.4108695276081562,3.7532753944396973,2.7692782878875732
80,6048,Lewis Dunk,5,450,1,0.5157398879528046,0,0,5,0,0,0,DEF,Brighton,1,0.5157398879528046,1.3770721442997456,1.3770721442997456
81,6063,Jacob Murphy,5,234,1,0.3216700069606304,1,1.4578073397278786,5,7,0,0,DEF,Newcastle United,1,0.3216700069606304,2.8651063749566674,1.2780158231034875
82,6144,Sébastien Haller,5,409,1,0.5821455344557762,0,0.1550232395529747,7,2,0,0,FWD,West Ham,1,0.5821455344557762,0.601184718310833,0.19656632095575333
83,6314,Joachim Andersen,5,450,1,0.7304941415786743,0,0.07951248623430729,2,2,1,0,DEF,Fulham,1,0.7304941415786743,0.8944878280162811,0.8944878280162811
84,6441,Ferrán Torres,5,282,1,1.7421143017709255,0,0.22227269411087036,10,3,0,0,FWD,Manchester City,1,1.7421143017709255,1.7792189680039883,0.2521073520183563
85,6630,Joe Willock,5,346,1,1.3725515492260456,0,0.3458327353000641,3,4,0,0,MID,Newcastle United,1,1.3725515492260456,2.5307020395994186,0.9824965232983232
